# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.164089999999999847e+00
2.000277970813059281e-05 6.373223000000000305e+00
4.000555941626118562e-05 6.599225999999999814e+00
6.000833912439177504e-05 6.852158000000000193e+00
8.001111883252237124e-05 7.103856999999999644e+00
1.000138985406529674e-04 7.405065999999999704e+00
1.200166782487835501e-04 7.711140000000000327e+00
1.400194579569141598e-04 8.050437999999999761e+00
1.600222376650447425e-04 8.393693000000000737e+00
1.800250173731753251e-04 8.754986999999999853e+00
2.000277970813059349e-04 9.145481000000000193e+00
2.200305767894365175e-04 9.539478000000000790e+00
2.400333564975671002e-04 9.988046000000000646e+00
2.600361362056977099e-04 1.050013900000000078e+01
2.800389159138283197e-04 1.103176299999999976e+01
3.000416956219588752e-04 1.164611900000000055e+01
3.200444753300894850e-04 1.231342300000000023e+01
3.400472550382200947e-04 1.308357400000000048e+01
3.600500347463506503e-04 1.395404100000000014e+01
3.800528144544812600e-04 1.482042000000000037e+01
4.000555941626118698e-04 1.602356599999999887e+01
4.200583738707424253e-04 1.715780200000000022e+01
4.400611535788730351e-04 1.837989500000000120e+01
4.600639332870036448e-04 2.011576799999999920e+01
4.800667129951342003e-04 2.186539700000000153e+01
5.000694927032648101e-04 2.416267799999999966e+01
5.200722724113954198e-04 2.687465500000000063e+01
5.400750521195260296e-04 3.050654400000000166e+01
5.600778318276566393e-04 3.543903900000000107e+01
5.800806115357871407e-04 4.288339899999999716e+01
6.000833912439177504e-04 5.480870199999999670e+01
6.200861709520483602e-04 7.491230799999999590e+01
6.400889506601789699e-04 1.060870359999999977e+02
6.600917303683095797e-04 1.519990359999999896e+02
6.800945100764401894e-04 2.128499779999999930e+02
7.000972897845707992e-04 2.865596320000000219e+02
7.201000694927013005e-04 3.657122509999999806e+02
7.401028492008319103e-04 4.388288969999999836e+02
7.601056289089625200e-04 4.900745279999999866e+02
7.801084086170931298e-04 5.109781330000000139e+02
8.001111883252237395e-04 4.972823720000000094e+02
8.201139680333543493e-04 4.606827809999999772e+02
8.401167477414848506e-04 4.125583080000000109e+02
8.601195274496154604e-04 3.625611149999999725e+02
8.801223071577460701e-04 3.139349310000000060e+02
9.001250868658766799e-04 2.700933650000000057e+02
9.201278665740072896e-04 2.263451070000000129e+02
9.401306462821378994e-04 1.767711099999999931e+02
9.601334259902684007e-04 1.220044189999999986e+02
9.801362056983990104e-04 7.286159999999999570e+01
1.000138985406529620e-03 3.242844900000000052e+01
1.020141765114660230e-03 4.346394000000000091e+00
1.040144544822790840e-03 -8.478186000000000888e+00
1.060147324530921449e-03 -8.028904000000000707e+00
1.080150104239052059e-03 3.598824000000000023e+00
1.100152883947182669e-03 2.604870100000000122e+01
1.120155663655313279e-03 5.033852999999999867e+01
1.140158443363443888e-03 6.695189700000000244e+01
1.160161223071574281e-03 7.167370300000000327e+01
1.180164002779704891e-03 6.125275400000000303e+01
1.200166782487835501e-03 3.498599399999999804e+01
1.220169562195966111e-03 3.130790000000000184e+00
1.240172341904096720e-03 -2.241597799999999907e+01
1.260175121612227330e-03 -4.156859099999999785e+01
1.280177901320357940e-03 -4.261113999999999891e+01
1.300180681028488550e-03 -2.518609400000000065e+01
1.320183460736619159e-03 -9.292265999999999693e+00
1.340186240444749769e-03 9.194276000000000337e+00
1.360189020152880379e-03 2.687958599999999976e+01
1.380191799861010989e-03 3.278163299999999936e+01
1.400194579569141598e-03 2.386386999999999858e+01
1.420197359277271991e-03 3.360297000000000089e+00
1.440200138985402601e-03 -4.043573000000000306e+00
1.460202918693533211e-03 -1.431638300000000008e+01
1.480205698401663821e-03 -8.652798999999999907e+00
1.500208478109794430e-03 -1.075809000000000015e+00
1.520211257817925040e-03 1.110917399999999944e+01
1.540214037526055650e-03 2.310442600000000013e+01
1.560216817234186260e-03 2.831931200000000004e+01
1.580219596942316869e-03 3.009736200000000039e+01
1.600222376650447479e-03 1.895856200000000058e+01
1.620225156358578089e-03 3.895164999999999988e+00
1.640227936066708699e-03 9.686643000000000114e+00
1.660230715774839308e-03 1.055360000000000076e+00
1.680233495482969701e-03 -3.831585000000000019e+00
1.700236275191100311e-03 1.374152000000000040e+00
1.720239054899230921e-03 -1.716444000000000081e+00
1.740241834607361530e-03 -3.349860000000000060e+00
1.760244614315492140e-03 -1.259316300000000055e+01
1.780247394023622750e-03 -2.292807099999999920e+01
1.800250173731753360e-03 -2.886943899999999985e+01
1.820252953439883969e-03 -3.053997000000000028e+01
1.840255733148014579e-03 -1.708877100000000127e+01
1.860258512856145189e-03 -1.118724300000000049e+01
1.880261292564275799e-03 7.560601000000000127e+00
1.900264072272406408e-03 2.628463199999999844e+01
1.920266851980536801e-03 3.321358899999999892e+01
1.940269631688667411e-03 3.947323099999999840e+01
1.960272411396798021e-03 3.422998900000000333e+01
1.980275191104928847e-03 2.091103000000000023e+01
2.000277970813059240e-03 5.414054000000000144e+00
2.020280750521190067e-03 -4.176203000000000110e+00
2.040283530229320460e-03 -1.418180599999999991e+01
2.060286309937450853e-03 -1.751735299999999995e+01
2.080289089645581679e-03 -1.486526699999999934e+01
2.100291869353712072e-03 -1.051993900000000082e+01
2.120294649061842899e-03 -5.738890999999999742e+00
2.140297428769973292e-03 -4.394680000000000142e+00
2.160300208478104118e-03 -5.618339999999999446e-01
2.180302988186234511e-03 -4.713601999999999848e+00
2.200305767894365338e-03 -1.103339500000000051e+01
2.220308547602495731e-03 -1.826635100000000023e+01
2.240311327310626557e-03 -1.598295599999999972e+01
2.260314107018756950e-03 -1.027654599999999974e+01
