# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.172395999999999994e+00
2.000277970813059281e-05 6.399243000000000237e+00
4.000555941626118562e-05 6.653796999999999962e+00
6.000833912439177504e-05 6.882006999999999763e+00
8.001111883252237124e-05 7.155832000000000193e+00
1.000138985406529674e-04 7.438547999999999938e+00
1.200166782487835501e-04 7.722300999999999860e+00
1.400194579569141598e-04 8.074056999999999817e+00
1.600222376650447425e-04 8.410304000000000002e+00
1.800250173731753251e-04 8.786782000000000536e+00
2.000277970813059349e-04 9.169619000000000852e+00
2.200305767894365175e-04 9.597357999999999834e+00
2.400333564975671002e-04 1.003632299999999944e+01
2.600361362056977099e-04 1.054945400000000078e+01
2.800389159138283197e-04 1.109652099999999919e+01
3.000416956219588752e-04 1.168336500000000022e+01
3.200444753300894850e-04 1.234567200000000042e+01
3.400472550382200947e-04 1.310174300000000081e+01
3.600500347463506503e-04 1.393477000000000032e+01
3.800528144544812600e-04 1.490717500000000051e+01
4.000555941626118698e-04 1.594654500000000041e+01
4.200583738707424253e-04 1.714787400000000162e+01
4.400611535788730351e-04 1.852076599999999829e+01
4.600639332870036448e-04 2.009208399999999983e+01
4.800667129951342003e-04 2.191432199999999852e+01
5.000694927032648101e-04 2.413308899999999824e+01
5.200722724113954198e-04 2.689431599999999989e+01
5.400750521195260296e-04 3.025886799999999965e+01
5.600778318276566393e-04 3.497645599999999888e+01
5.800806115357871407e-04 4.203291699999999764e+01
6.000833912439177504e-04 5.333510400000000118e+01
6.200861709520483602e-04 7.257577000000000567e+01
6.400889506601789699e-04 1.027082740000000030e+02
6.600917303683095797e-04 1.479594590000000096e+02
6.800945100764401894e-04 2.079610220000000140e+02
7.000972897845707992e-04 2.822049600000000282e+02
7.201000694927013005e-04 3.639821529999999825e+02
7.401028492008319103e-04 4.404775609999999801e+02
7.601056289089625200e-04 4.976060959999999795e+02
7.801084086170931298e-04 5.214153679999999440e+02
8.001111883252237395e-04 5.094486029999999914e+02
8.201139680333543493e-04 4.703550559999999905e+02
8.401167477414848506e-04 4.188038050000000112e+02
8.601195274496154604e-04 3.667511020000000030e+02
8.801223071577460701e-04 3.165220649999999978e+02
9.001250868658766799e-04 2.728885930000000144e+02
9.201278665740072896e-04 2.294329779999999914e+02
9.401306462821378994e-04 1.789307640000000106e+02
9.601334259902684007e-04 1.254952420000000046e+02
9.801362056983990104e-04 7.481523599999999874e+01
1.000138985406529620e-03 3.377817600000000198e+01
1.020141765114660230e-03 4.132069999999999688e+00
1.040144544822790840e-03 -9.506135000000000446e+00
