# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.180831000000000408e+00
2.000277970813059281e-05 6.434606999999999744e+00
4.000555941626118562e-05 6.685138000000000247e+00
6.000833912439177504e-05 6.918084000000000344e+00
8.001111883252237124e-05 7.200929000000000357e+00
1.000138985406529674e-04 7.463205000000000311e+00
1.200166782487835501e-04 7.800036000000000413e+00
1.400194579569141598e-04 8.121684000000000125e+00
1.600222376650447425e-04 8.465524000000000271e+00
1.800250173731753251e-04 8.846607999999999805e+00
2.000277970813059349e-04 9.222177999999999543e+00
2.200305767894365175e-04 9.653874999999999318e+00
2.400333564975671002e-04 1.012080599999999997e+01
2.600361362056977099e-04 1.064477399999999996e+01
2.800389159138283197e-04 1.119177600000000083e+01
3.000416956219588752e-04 1.181404799999999966e+01
3.200444753300894850e-04 1.248777600000000021e+01
3.400472550382200947e-04 1.323093399999999953e+01
3.600500347463506503e-04 1.408173999999999992e+01
3.800528144544812600e-04 1.508431799999999967e+01
4.000555941626118698e-04 1.609864100000000064e+01
4.200583738707424253e-04 1.735830400000000040e+01
4.400611535788730351e-04 1.879121699999999962e+01
4.600639332870036448e-04 2.028356700000000146e+01
4.800667129951342003e-04 2.233239299999999972e+01
5.000694927032648101e-04 2.455180800000000119e+01
5.200722724113954198e-04 2.739206899999999933e+01
5.400750521195260296e-04 3.099605599999999939e+01
5.600778318276566393e-04 3.629957900000000137e+01
5.800806115357871407e-04 4.394216999999999729e+01
6.000833912439177504e-04 5.663353599999999943e+01
6.200861709520483602e-04 7.766724100000000419e+01
6.400889506601789699e-04 1.097478650000000044e+02
6.600917303683095797e-04 1.567915690000000097e+02
6.800945100764401894e-04 2.179346360000000118e+02
7.000972897845707992e-04 2.912697580000000244e+02
7.201000694927013005e-04 3.700512850000000071e+02
7.401028492008319103e-04 4.419508989999999926e+02
7.601056289089625200e-04 4.918425199999999791e+02
7.801084086170931298e-04 5.101644430000000057e+02
8.001111883252237395e-04 4.941064489999999978e+02
8.201139680333543493e-04 4.554214999999999804e+02
8.401167477414848506e-04 4.056951470000000199e+02
8.601195274496154604e-04 3.554985540000000128e+02
8.801223071577460701e-04 3.062965580000000045e+02
9.001250868658766799e-04 2.626693149999999832e+02
9.201278665740072896e-04 2.188058169999999905e+02
9.401306462821378994e-04 1.695524299999999869e+02
9.601334259902684007e-04 1.160385880000000043e+02
9.801362056983990104e-04 6.907119099999999889e+01
1.000138985406529620e-03 3.013181799999999910e+01
1.020141765114660230e-03 4.247893999999999615e+00
1.040144544822790840e-03 -7.486314000000000135e+00
1.060147324530921449e-03 -4.865634000000000015e+00
1.080150104239052059e-03 6.140146999999999800e+00
1.100152883947182669e-03 2.897740200000000144e+01
1.120155663655313279e-03 5.186968300000000198e+01
1.140158443363443888e-03 6.496873700000000440e+01
1.160161223071574281e-03 7.079395700000000602e+01
1.180164002779704891e-03 5.616310099999999750e+01
1.200166782487835501e-03 2.953452700000000064e+01
1.220169562195966111e-03 -1.041287999999999991e+00
1.240172341904096720e-03 -2.616427499999999995e+01
1.260175121612227330e-03 -4.243120700000000056e+01
1.280177901320357940e-03 -3.622684900000000141e+01
1.300180681028488550e-03 -1.886467899999999887e+01
1.320183460736619159e-03 -6.026277999999999579e+00
1.340186240444749769e-03 1.533011300000000077e+01
1.360189020152880379e-03 3.132023399999999924e+01
1.380191799861010989e-03 3.160054799999999986e+01
1.400194579569141598e-03 1.751773299999999978e+01
1.420197359277271991e-03 1.361954000000000109e+00
1.440200138985402601e-03 -1.076482500000000009e+01
1.460202918693533211e-03 -1.845244800000000041e+01
1.480205698401663821e-03 -8.899955000000000283e+00
1.500208478109794430e-03 -1.525609999999999911e+00
1.520211257817925040e-03 1.262923100000000076e+01
1.540214037526055650e-03 2.776056499999999971e+01
1.560216817234186260e-03 3.230496800000000235e+01
1.580219596942316869e-03 2.981484199999999873e+01
1.600222376650447479e-03 1.837885599999999897e+01
1.620225156358578089e-03 8.186961000000000155e+00
1.640227936066708699e-03 9.558296000000000348e+00
1.660230715774839308e-03 -4.248162999999999911e+00
1.680233495482969701e-03 -4.026962000000000153e+00
1.700236275191100311e-03 -1.166392000000000095e+00
1.720239054899230921e-03 -2.753087999999999980e+00
1.740241834607361530e-03 -2.687682000000000127e+00
1.760244614315492140e-03 -1.649628200000000078e+01
1.780247394023622750e-03 -2.164381500000000003e+01
1.800250173731753360e-03 -2.730194900000000047e+01
1.820252953439883969e-03 -2.760036699999999854e+01
1.840255733148014579e-03 -1.547092800000000068e+01
1.860258512856145189e-03 -1.035084200000000010e+01
1.880261292564275799e-03 1.248180600000000062e+01
1.900264072272406408e-03 2.597044599999999903e+01
1.920266851980536801e-03 3.264277299999999826e+01
1.940269631688667411e-03 3.902725900000000081e+01
1.960272411396798021e-03 3.061484099999999842e+01
1.980275191104928847e-03 1.616709799999999930e+01
2.000277970813059240e-03 3.744432000000000205e+00
2.020280750521190067e-03 -6.351818999999999882e+00
2.040283530229320460e-03 -1.589315200000000061e+01
2.060286309937450853e-03 -1.557384000000000057e+01
2.080289089645581679e-03 -1.253424500000000030e+01
2.100291869353712072e-03 -8.821635999999999811e+00
2.120294649061842899e-03 -3.570022999999999946e+00
2.140297428769973292e-03 1.111150000000000054e-01
2.160300208478104118e-03 2.336371000000000198e+00
2.180302988186234511e-03 -4.802304000000000350e+00
2.200305767894365338e-03 -1.351742199999999983e+01
2.220308547602495731e-03 -2.193042399999999859e+01
2.240311327310626557e-03 -1.830684099999999859e+01
2.260314107018756950e-03 -1.171322200000000002e+01
2.280316886726887777e-03 -8.092169999999999419e+00
