# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.099592000000000347e+00
2.000277970813059281e-05 6.299121000000000414e+00
4.000555941626118562e-05 6.552896999999999750e+00
6.000833912439177504e-05 6.789087999999999568e+00
8.001111883252237124e-05 7.045783000000000129e+00
1.000138985406529674e-04 7.341865000000000308e+00
1.200166782487835501e-04 7.650275999999999854e+00
1.400194579569141598e-04 7.958427000000000362e+00
1.600222376650447425e-04 8.310247999999999635e+00
1.800250173731753251e-04 8.638903000000000887e+00
2.000277970813059349e-04 9.023296999999999457e+00
2.200305767894365175e-04 9.435268999999999906e+00
2.400333564975671002e-04 9.865408999999999651e+00
2.600361362056977099e-04 1.037464699999999951e+01
2.800389159138283197e-04 1.089069800000000043e+01
3.000416956219588752e-04 1.150524799999999992e+01
3.200444753300894850e-04 1.214153600000000033e+01
3.400472550382200947e-04 1.287911300000000026e+01
3.600500347463506503e-04 1.371493000000000073e+01
3.800528144544812600e-04 1.461518099999999976e+01
4.000555941626118698e-04 1.565104700000000015e+01
4.200583738707424253e-04 1.672136799999999823e+01
4.400611535788730351e-04 1.813182899999999975e+01
4.600639332870036448e-04 1.953787900000000022e+01
4.800667129951342003e-04 2.123650599999999855e+01
5.000694927032648101e-04 2.340822899999999862e+01
5.200722724113954198e-04 2.599438999999999922e+01
5.400750521195260296e-04 2.925168199999999885e+01
5.600778318276566393e-04 3.376454999999999984e+01
5.800806115357871407e-04 4.039119600000000077e+01
6.000833912439177504e-04 5.051119599999999821e+01
6.200861709520483602e-04 6.768558099999999911e+01
6.400889506601789699e-04 9.410086900000000298e+01
6.600917303683095797e-04 1.342375480000000039e+02
6.800945100764401894e-04 1.885081739999999968e+02
7.000972897845707992e-04 2.556726150000000075e+02
7.201000694927013005e-04 3.314895579999999882e+02
7.401028492008319103e-04 4.056263660000000186e+02
7.601056289089625200e-04 4.643381590000000188e+02
7.801084086170931298e-04 4.964222219999999766e+02
8.001111883252237395e-04 4.960243960000000243e+02
8.201139680333543493e-04 4.682843629999999848e+02
8.401167477414848506e-04 4.249546300000000087e+02
8.601195274496154604e-04 3.759905769999999734e+02
8.801223071577460701e-04 3.279862110000000257e+02
9.001250868658766799e-04 2.815465449999999805e+02
9.201278665740072896e-04 2.398700839999999914e+02
9.401306462821378994e-04 1.930146829999999909e+02
9.601334259902684007e-04 1.411638450000000091e+02
9.801362056983990104e-04 9.018555100000000380e+01
1.000138985406529620e-03 4.820535000000000281e+01
1.020141765114660230e-03 1.521668900000000058e+01
1.040144544822790840e-03 -2.656016000000000155e+00
1.060147324530921449e-03 -6.319245999999999697e+00
1.080150104239052059e-03 9.644519999999999760e-01
1.100152883947182669e-03 1.728225600000000028e+01
1.120155663655313279e-03 4.286458199999999863e+01
1.140158443363443888e-03 5.772105200000000025e+01
1.160161223071574281e-03 6.944955000000000211e+01
1.180164002779704891e-03 6.350506800000000140e+01
1.200166782487835501e-03 4.084359200000000101e+01
1.220169562195966111e-03 1.303257200000000005e+01
1.240172341904096720e-03 -1.584578400000000009e+01
1.260175121612227330e-03 -3.540809699999999793e+01
1.280177901320357940e-03 -3.839883199999999874e+01
1.300180681028488550e-03 -2.411557900000000032e+01
1.320183460736619159e-03 -1.189581599999999995e+01
1.340186240444749769e-03 5.396144999999999747e+00
