# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.248833000000000304e+00
2.000277970813059281e-05 6.475291000000000352e+00
4.000555941626118562e-05 6.700711000000000084e+00
6.000833912439177504e-05 6.951954999999999885e+00
8.001111883252237124e-05 7.228635999999999839e+00
1.000138985406529674e-04 7.493377999999999872e+00
1.200166782487835501e-04 7.826900000000000190e+00
1.400194579569141598e-04 8.175216000000000705e+00
1.600222376650447425e-04 8.522235000000000227e+00
1.800250173731753251e-04 8.902281999999999584e+00
2.000277970813059349e-04 9.309711000000000070e+00
2.200305767894365175e-04 9.710781000000000773e+00
2.400333564975671002e-04 1.017076999999999920e+01
2.600361362056977099e-04 1.068454999999999977e+01
2.800389159138283197e-04 1.122454399999999985e+01
3.000416956219588752e-04 1.184746499999999969e+01
3.200444753300894850e-04 1.254364400000000046e+01
3.400472550382200947e-04 1.331710499999999975e+01
3.600500347463506503e-04 1.420859500000000075e+01
3.800528144544812600e-04 1.520299799999999912e+01
4.000555941626118698e-04 1.625904299999999836e+01
4.200583738707424253e-04 1.752941300000000169e+01
4.400611535788730351e-04 1.888478500000000082e+01
4.600639332870036448e-04 2.055356400000000150e+01
4.800667129951342003e-04 2.241798000000000002e+01
5.000694927032648101e-04 2.471895900000000168e+01
5.200722724113954198e-04 2.762112199999999973e+01
5.400750521195260296e-04 3.126501499999999822e+01
5.600778318276566393e-04 3.663037599999999827e+01
5.800806115357871407e-04 4.435543899999999695e+01
6.000833912439177504e-04 5.740543900000000122e+01
6.200861709520483602e-04 7.872873699999999531e+01
6.400889506601789699e-04 1.116473189999999960e+02
6.600917303683095797e-04 1.597017779999999902e+02
6.800945100764401894e-04 2.213516170000000045e+02
7.000972897845707992e-04 2.959824140000000057e+02
7.201000694927013005e-04 3.746451329999999871e+02
7.401028492008319103e-04 4.453452340000000049e+02
7.601056289089625200e-04 4.935608740000000125e+02
7.801084086170931298e-04 5.100134489999999801e+02
8.001111883252237395e-04 4.931315119999999865e+02
8.201139680333543493e-04 4.534812959999999862e+02
8.401167477414848506e-04 4.040134550000000218e+02
8.601195274496154604e-04 3.540289789999999925e+02
8.801223071577460701e-04 3.053387519999999995e+02
9.001250868658766799e-04 2.631126919999999814e+02
9.201278665740072896e-04 2.183461529999999868e+02
9.401306462821378994e-04 1.683708259999999939e+02
9.601334259902684007e-04 1.147341519999999946e+02
9.801362056983990104e-04 6.741182000000000585e+01
1.000138985406529620e-03 2.829154000000000124e+01
1.020141765114660230e-03 2.535185999999999940e+00
1.040144544822790840e-03 -8.366059999999999164e+00
1.060147324530921449e-03 -7.927939000000000291e+00
1.080150104239052059e-03 4.458584000000000103e+00
1.100152883947182669e-03 2.834786300000000026e+01
1.120155663655313279e-03 4.851330699999999752e+01
1.140158443363443888e-03 6.861094300000000601e+01
1.160161223071574281e-03 7.122000900000000456e+01
1.180164002779704891e-03 6.012169800000000208e+01
1.200166782487835501e-03 3.903186600000000084e+01
1.220169562195966111e-03 3.865965999999999791e+00
1.240172341904096720e-03 -1.672987699999999833e+01
1.260175121612227330e-03 -4.012944900000000104e+01
1.280177901320357940e-03 -4.691188999999999965e+01
1.300180681028488550e-03 -3.553079999999999927e+01
1.320183460736619159e-03 -1.903150499999999923e+01
1.340186240444749769e-03 -5.129089999999999483e-01
1.360189020152880379e-03 1.972254900000000077e+01
1.380191799861010989e-03 2.534343700000000155e+01
1.400194579569141598e-03 3.260124499999999870e+01
1.420197359277271991e-03 1.472081799999999951e+01
1.440200138985402601e-03 5.291417000000000037e+00
1.460202918693533211e-03 7.990287000000000361e+00
1.480205698401663821e-03 -2.535324999999999829e+00
1.500208478109794430e-03 7.417524000000000228e+00
1.520211257817925040e-03 1.143847899999999917e+01
1.540214037526055650e-03 1.514167899999999989e+01
1.560216817234186260e-03 2.132377999999999929e+01
1.580219596942316869e-03 1.333799800000000069e+01
1.600222376650447479e-03 9.898372000000000170e+00
1.620225156358578089e-03 -4.188207000000000235e+00
1.640227936066708699e-03 -2.919201000000000157e+00
