# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.178949000000000247e+00
2.000277970813066735e-05 6.387304000000000315e+00
4.000555941626133470e-05 6.622910000000000075e+00
6.000833912439200544e-05 6.882719999999999949e+00
8.001111883252266940e-05 7.152458000000000204e+00
1.000138985406533334e-04 7.457169999999999632e+00
1.200166782487840109e-04 7.793483000000000160e+00
1.400194579569146748e-04 8.121553999999999718e+00
1.600222376650453388e-04 8.466627000000000791e+00
1.800250173731760028e-04 8.820133999999999475e+00
2.000277970813066667e-04 9.217245999999999384e+00
2.200305767894373307e-04 9.601575999999999667e+00
2.400333564975680217e-04 1.006085000000000029e+01
2.600361362056986857e-04 1.055152999999999963e+01
2.800389159138293497e-04 1.108983800000000031e+01
3.000416956219600136e-04 1.174747299999999939e+01
3.200444753300906776e-04 1.239271600000000007e+01
3.400472550382213415e-04 1.321432300000000026e+01
3.600500347463520055e-04 1.420450699999999955e+01
3.800528144544826695e-04 1.502877499999999955e+01
4.000555941626133334e-04 1.612238999999999933e+01
4.200583738707439974e-04 1.737446100000000015e+01
4.400611535788746614e-04 1.883728699999999989e+01
4.600639332870053253e-04 2.036564999999999870e+01
4.800667129951360435e-04 2.228106700000000018e+01
5.000694927032666532e-04 2.463324199999999919e+01
5.200722724113973714e-04 2.771767399999999881e+01
5.400750521195279812e-04 3.144072999999999851e+01
5.600778318276586993e-04 3.694566499999999820e+01
5.800806115357893091e-04 4.534808999999999912e+01
6.000833912439200273e-04 5.900413900000000211e+01
6.200861709520506370e-04 8.111303200000000402e+01
6.400889506601813552e-04 1.154780240000000049e+02
6.600917303683120733e-04 1.631148660000000064e+02
6.800945100764426831e-04 2.238017719999999997e+02
7.000972897845734013e-04 2.943522429999999872e+02
7.201000694927040110e-04 3.656945370000000253e+02
7.401028492008347292e-04 4.285259790000000066e+02
7.601056289089653389e-04 4.708062199999999962e+02
7.801084086170960571e-04 4.870241619999999898e+02
8.001111883252266669e-04 4.753600969999999961e+02
8.201139680333573850e-04 4.431454800000000205e+02
8.401167477414879948e-04 4.003544430000000034e+02
8.601195274496187130e-04 3.539385260000000244e+02
8.801223071577493227e-04 3.063874650000000202e+02
9.001250868658800409e-04 2.644602130000000102e+02
9.201278665740106506e-04 2.183452440000000081e+02
9.401306462821413688e-04 1.677377180000000010e+02
9.601334259902720870e-04 1.139082630000000051e+02
9.801362056984026967e-04 6.740163300000000390e+01
1.000138985406533306e-03 3.043445300000000131e+01
1.020141765114664133e-03 5.600865999999999900e+00
1.040144544822794743e-03 -5.326140999999999792e+00
1.060147324530925353e-03 -3.714852000000000043e+00
1.080150104239055962e-03 8.817797999999999803e+00
1.100152883947186789e-03 2.945484499999999883e+01
1.120155663655317399e-03 5.006924699999999717e+01
1.140158443363448008e-03 6.535936100000000692e+01
1.160161223071578618e-03 6.682737799999999595e+01
1.180164002779709445e-03 5.552058399999999949e+01
1.200166782487840055e-03 3.289732699999999710e+01
1.220169562195970664e-03 1.397707000000000033e+00
1.240172341904101274e-03 -1.923382499999999951e+01
1.260175121612232101e-03 -3.616630899999999826e+01
1.280177901320362710e-03 -4.009226799999999713e+01
1.300180681028493320e-03 -2.737955499999999986e+01
1.320183460736624147e-03 -1.309759900000000066e+01
1.340186240444754756e-03 3.818079000000000001e+00
1.360189020152885366e-03 1.934412400000000076e+01
1.380191799861015976e-03 2.859794000000000125e+01
1.400194579569146803e-03 2.335294499999999829e+01
1.420197359277277412e-03 8.835902000000000811e+00
1.440200138985408022e-03 3.983477000000000157e+00
1.460202918693538632e-03 1.462399999999999922e+00
1.480205698401669458e-03 8.684699999999999365e-02
1.500208478109800068e-03 3.094711999999999907e+00
1.520211257817930678e-03 1.395365199999999994e+01
1.540214037526061288e-03 1.559070099999999925e+01
1.560216817234192114e-03 2.028635699999999886e+01
1.580219596942322724e-03 2.165749699999999933e+01
1.600222376650453334e-03 8.170738999999999308e+00
1.620225156358584160e-03 3.874719999999999831e-01
1.640227936066714770e-03 4.757392000000000287e+00
1.660230715774845380e-03 1.164824999999999999e+00
1.680233495482975990e-03 2.831658000000000008e+00
1.700236275191106816e-03 3.407989000000000157e+00
1.720239054899237426e-03 4.162177999999999933e+00
1.740241834607368036e-03 -2.965465000000000018e+00
1.760244614315498645e-03 -1.054271499999999939e+01
1.780247394023629472e-03 -1.966630100000000070e+01
1.800250173731760082e-03 -3.038125499999999946e+01
1.820252953439890692e-03 -2.747201899999999952e+01
1.840255733148021301e-03 -2.148730600000000024e+01
1.860258512856152128e-03 -1.037121699999999969e+01
1.880261292564282738e-03 1.059033299999999933e+01
1.900264072272413347e-03 2.706425600000000031e+01
1.920266851980544174e-03 3.187346600000000052e+01
1.940269631688674784e-03 4.318850100000000225e+01
1.960272411396805393e-03 3.266061700000000201e+01
1.980275191104936220e-03 1.890535399999999910e+01
2.000277970813066613e-03 1.053290699999999980e+01
2.020280750521197440e-03 -7.948703000000000074e+00
2.040283530229328266e-03 -1.625885800000000003e+01
2.060286309937458659e-03 -1.797357799999999983e+01
2.080289089645589486e-03 -1.865035599999999860e+01
2.100291869353719879e-03 -1.368359899999999918e+01
2.120294649061850705e-03 -8.815860999999999947e+00
2.140297428769981532e-03 -6.349548000000000414e+00
2.160300208478111925e-03 -5.176574999999999704e+00
2.180302988186242751e-03 -5.229652999999999885e+00
2.200305767894373578e-03 -5.245161000000000406e+00
2.220308547602503971e-03 -1.184027200000000057e+01
2.240311327310634797e-03 -8.479808000000000234e+00
2.260314107018765624e-03 -4.245243999999999573e+00
2.280316886726896017e-03 -2.143663999999999792e+00
2.300319666435026843e-03 1.016037999999999997e+00
2.320322446143157236e-03 5.820509999999999629e+00
2.340325225851288063e-03 6.360570000000000057e+00
2.360328005559418890e-03 8.583358999999999739e+00
2.380330785267549282e-03 1.087538400000000038e+01
2.400333564975680109e-03 6.826398000000000188e+00
2.420336344683810936e-03 7.369571999999999790e+00
2.440339124391941329e-03 9.024271000000000598e+00
2.460341904100072155e-03 3.727819999999999911e+00
2.480344683808202548e-03 -1.779320000000000013e+00
2.500347463516333375e-03 -6.295042999999999722e+00
2.520350243224464201e-03 -1.348471900000000012e+01
2.540353022932594594e-03 -1.534303500000000042e+01
2.560355802640725421e-03 -1.780967199999999906e+01
2.580358582348856247e-03 -1.336857000000000006e+01
2.600361362056986640e-03 -1.221110499999999988e+01
2.620364141765117467e-03 -8.723591000000000761e+00
2.640366921473248293e-03 -4.396561000000000163e+00
2.660369701181378686e-03 -3.624528999999999890e+00
2.680372480889509513e-03 -9.072310000000000096e-01
2.700375260597639906e-03 -4.078676999999999886e+00
2.720378040305770732e-03 -3.567752000000000034e+00
2.740380820013901559e-03 -1.060300999999999938e+00
2.760383599722031952e-03 2.755869000000000124e+00
2.780386379430162778e-03 1.079907599999999945e+01
2.800389159138293605e-03 1.551854600000000062e+01
2.820391938846423998e-03 9.777162000000000575e+00
2.840394718554554825e-03 5.250926999999999900e+00
2.860397498262685217e-03 3.013599999999999959e-02
2.880400277970816044e-03 4.350339999999999763e-01
2.900403057678946871e-03 -4.138697999999999766e+00
2.920405837387077264e-03 -8.871534999999999727e+00
2.940408617095208090e-03 -1.194311899999999937e+01
2.960411396803338917e-03 -8.669539999999999580e+00
2.980414176511469310e-03 -1.005398100000000028e+01
3.000416956219600136e-03 -8.360934000000000310e+00
3.020419735927730963e-03 -1.203740099999999913e+01
3.040422515635861356e-03 -1.914304699999999926e+01
3.060425295343992182e-03 -1.339835300000000018e+01
3.080428075052122575e-03 -1.012237299999999962e+01
3.100430854760253402e-03 -7.822432000000000052e+00
3.120433634468384228e-03 1.649664999999999937e+00
3.140436414176514621e-03 8.112080999999999875e+00
3.160439193884645448e-03 1.218611399999999989e+01
3.180441973592776275e-03 1.209222100000000033e+01
3.200444753300906667e-03 9.873519999999999186e+00
3.220447533009037494e-03 3.882512000000000185e+00
3.240450312717168321e-03 -4.021460000000000035e-01
3.260453092425298714e-03 -2.054832999999999910e+00
3.280455872133429540e-03 -6.979606999999999672e+00
3.300458651841559933e-03 -5.686397000000000368e+00
3.320461431549690760e-03 1.870087999999999973e+00
3.340464211257821586e-03 3.451010000000000133e+00
3.360466990965951979e-03 -7.952350000000000252e-01
3.380469770674082806e-03 -3.126452000000000009e+00
3.400472550382213632e-03 -1.144653399999999976e+01
3.420475330090344025e-03 -1.804352700000000098e+01
3.440478109798474852e-03 -1.764686899999999881e+01
3.460480889506605245e-03 -1.709960699999999889e+01
3.480483669214736071e-03 -1.436777400000000071e+01
3.500486448922866898e-03 -7.041314999999999991e+00
3.520489228630997291e-03 2.415274000000000143e+00
3.540492008339128117e-03 7.219356999999999580e+00
3.560494788047258944e-03 9.628698999999999231e+00
3.580497567755389337e-03 1.054582000000000086e+01
3.600500347463520164e-03 4.019359999999999822e+00
3.620503127171650990e-03 2.000706999999999791e+00
3.640505906879781383e-03 -1.799369999999999914e+00
3.660508686587912210e-03 -4.422126999999999697e+00
3.680511466296042603e-03 -1.094236999999999904e+00
3.700514246004173429e-03 -2.059829000000000132e+00
3.720517025712304256e-03 -2.522931999999999952e+00
3.740519805420434649e-03 1.804097999999999979e+00
3.760522585128565475e-03 -9.590109999999999468e-01
3.780525364836696302e-03 -2.080918000000000045e+00
3.800528144544826695e-03 6.029630000000000267e-01
3.820530924252957521e-03 -4.470339000000000063e+00
3.840533703961088348e-03 -8.314733999999999625e+00
3.860536483669218741e-03 -9.224913000000000807e+00
3.880539263377349567e-03 -1.118704900000000002e+01
3.900542043085479960e-03 -1.270308299999999946e+01
3.920544822793610787e-03 -1.025136999999999965e+01
3.940547602501741180e-03 -9.226340000000000430e+00
3.960550382209872440e-03 -1.756998999999999977e+00
3.980553161918002833e-03 3.978480999999999934e+00
4.000555941626133226e-03 1.221836300000000008e+01
4.020558721334264486e-03 1.324092599999999997e+01
4.040561501042394879e-03 9.304779999999999163e+00
4.060564280750525272e-03 9.837312000000000722e+00
4.080567060458656532e-03 1.583090000000000108e+00
4.100569840166786925e-03 -1.033047999999999966e+00
4.120572619874917318e-03 -2.402695000000000025e+00
4.140575399583047711e-03 -7.726657999999999582e+00
4.160578179291178971e-03 -6.600273999999999752e+00
4.180580958999309364e-03 -7.709851999999999705e+00
4.200583738707439757e-03 -7.823730000000000295e+00
4.220586518415571017e-03 -5.390704000000000384e+00
4.240589298123701410e-03 -6.577562999999999604e+00
4.260592077831831803e-03 -4.986259999999999692e+00
4.280594857539963063e-03 -1.338084000000000051e+00
4.300597637248093456e-03 -1.816370999999999958e+00
4.320600416956223849e-03 -3.786699999999999788e-02
4.340603196664355110e-03 5.324299999999999589e-01
4.360605976372485502e-03 1.513660999999999923e+00
4.380608756080615895e-03 1.931667000000000023e+00
4.400611535788747156e-03 2.313010999999999928e+00
4.420614315496877549e-03 3.007957000000000214e+00
4.440617095205007941e-03 1.003838999999999926e+00
4.460619874913139202e-03 2.406773999999999969e+00
4.480622654621269595e-03 -1.791388999999999898e+00
4.500625434329399988e-03 -5.008516000000000190e+00
4.520628214037531248e-03 -2.834912000000000099e+00
4.540630993745661641e-03 -3.103936000000000028e+00
4.560633773453792034e-03 -2.579000000000000181e-01
4.580636553161922427e-03 2.852097000000000104e+00
4.600639332870053687e-03 1.540394000000000041e+00
4.620642112578184080e-03 1.616052999999999962e+00
4.640644892286314473e-03 -2.469529000000000085e+00
4.660647671994445733e-03 -2.550574000000000119e+00
4.680650451702576126e-03 -8.966010999999999953e+00
4.700653231410706519e-03 -1.008804699999999954e+01
4.720656011118837779e-03 -9.038230999999999682e+00
4.740658790826968172e-03 -5.166517999999999944e+00
4.760661570535098565e-03 4.759922999999999682e+00
4.780664350243229825e-03 5.624615000000000364e+00
4.800667129951360218e-03 5.242296999999999763e+00
4.820669909659490611e-03 8.664014999999999134e+00
4.840672689367621871e-03 1.733953999999999995e+00
4.860675469075752264e-03 -1.151013000000000064e+00
4.880678248783882657e-03 -5.184102000000000210e+00
4.900681028492013917e-03 -8.572272999999999143e+00
4.920683808200144310e-03 -7.545427000000000106e+00
4.940686587908274703e-03 -2.564655000000000129e+00
4.960689367616405096e-03 2.009662000000000059e+00
4.980692147324536356e-03 2.014269000000000087e+00
5.000694927032666749e-03 2.406902999999999793e+00
5.020697706740797142e-03 -7.733029999999999626e-01
5.040700486448928402e-03 -1.867437000000000014e+00
5.060703266157058795e-03 9.920290000000000497e-01
5.080706045865189188e-03 -7.856309999999999683e-01
5.100708825573320448e-03 -3.183812000000000086e+00
5.120711605281450841e-03 -2.093700000000000117e+00
5.140714384989581234e-03 -5.644479999999999720e+00
5.160717164697712495e-03 -5.237375000000000114e+00
5.180719944405842887e-03 -2.243656000000000095e+00
5.200722724113973280e-03 -1.507246000000000086e+00
5.220725503822104541e-03 -2.267405000000000115e+00
5.240728283530234934e-03 -1.675758999999999999e+00
5.260731063238365326e-03 -7.925090000000000190e-01
5.280733842946496587e-03 1.964564999999999895e+00
5.300736622654626980e-03 3.305597000000000119e+00
5.320739402362757373e-03 3.183412999999999826e+00
5.340742182070887765e-03 -1.690553999999999890e+00
5.360744961779019026e-03 -3.107840000000000047e-01
5.380747741487149419e-03 -4.992820000000000036e-01
5.400750521195279812e-03 -2.255335000000000090e+00
5.420753300903411072e-03 -9.548579999999999846e-01
5.440756080611541465e-03 -3.520188999999999790e+00
5.460758860319671858e-03 -6.225678000000000267e+00
5.480761640027803118e-03 -2.908882999999999885e+00
5.500764419735933511e-03 -1.520029000000000075e+00
5.520767199444063904e-03 -2.916215999999999919e+00
5.540769979152195164e-03 -4.133637000000000228e+00
5.560772758860325557e-03 -3.510132000000000030e+00
5.580775538568455950e-03 -4.015736000000000416e+00
5.600778318276587210e-03 -1.171842000000000050e+00
5.620781097984717603e-03 2.807713999999999821e+00
5.640783877692847996e-03 2.445187000000000221e+00
5.660786657400979256e-03 2.605783999999999878e+00
5.680789437109109649e-03 6.781030000000000113e-01
5.700792216817240042e-03 -1.026947999999999972e+00
5.720794996525370435e-03 -8.723859999999999948e-01
5.740797776233501695e-03 -8.592140000000000333e-01
5.760800555941632088e-03 -2.379011000000000209e+00
5.780803335649762481e-03 -3.676178999999999863e+00
5.800806115357893741e-03 -3.101274999999999782e+00
5.820808895066024134e-03 -3.113408999999999871e+00
5.840811674774154527e-03 -1.501989999999999936e+00
5.860814454482285787e-03 8.477190000000000003e-01
5.880817234190416180e-03 -2.796628000000000114e+00
5.900820013898546573e-03 -3.281597999999999793e+00
5.920822793606677834e-03 -3.307099000000000011e+00
5.940825573314808226e-03 -3.819904999999999884e+00
