# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.312877000000000294e+00
2.000277970813059281e-05 6.548678999999999917e+00
4.000555941626118562e-05 6.777408000000000321e+00
6.000833912439177504e-05 7.051688000000000400e+00
8.001111883252237124e-05 7.307215000000000238e+00
1.000138985406529674e-04 7.570528999999999620e+00
1.200166782487835501e-04 7.895226000000000077e+00
1.400194579569141598e-04 8.213110999999999606e+00
1.600222376650447425e-04 8.604317999999999245e+00
1.800250173731753251e-04 8.987609000000000847e+00
2.000277970813059349e-04 9.412039000000000044e+00
2.200305767894365175e-04 9.851067999999999714e+00
2.400333564975671002e-04 1.032572099999999971e+01
2.600361362056977099e-04 1.086435299999999948e+01
2.800389159138283197e-04 1.142939400000000028e+01
3.000416956219588752e-04 1.205354799999999926e+01
3.200444753300894850e-04 1.279261799999999916e+01
3.400472550382200947e-04 1.353415399999999913e+01
3.600500347463506503e-04 1.446035900000000041e+01
3.800528144544812600e-04 1.548415600000000047e+01
4.000555941626118698e-04 1.662565800000000138e+01
4.200583738707424253e-04 1.794631599999999949e+01
4.400611535788730351e-04 1.939006499999999988e+01
4.600639332870036448e-04 2.120925400000000138e+01
4.800667129951342003e-04 2.328980999999999923e+01
5.000694927032648101e-04 2.575891299999999973e+01
5.200722724113954198e-04 2.892101500000000058e+01
5.400750521195260296e-04 3.310496700000000203e+01
5.600778318276566393e-04 3.915314099999999797e+01
5.800806115357871407e-04 4.840059699999999765e+01
6.000833912439177504e-04 6.443075399999999320e+01
6.200861709520483602e-04 8.962018500000000643e+01
6.400889506601789699e-04 1.286376180000000033e+02
6.600917303683095797e-04 1.832344339999999931e+02
6.800945100764401894e-04 2.518528770000000065e+02
7.000972897845707992e-04 3.321550449999999728e+02
7.201000694927013005e-04 4.122249810000000139e+02
7.401028492008319103e-04 4.784418679999999995e+02
7.601056289089625200e-04 5.156615249999999833e+02
7.801084086170931298e-04 5.164892320000000154e+02
8.001111883252237395e-04 4.857138860000000022e+02
8.201139680333543493e-04 4.382127889999999866e+02
8.401167477414848506e-04 3.858389569999999935e+02
8.601195274496154604e-04 3.356343180000000075e+02
8.801223071577460701e-04 2.885919759999999883e+02
9.001250868658766799e-04 2.471419070000000033e+02
9.201278665740072896e-04 1.994625629999999887e+02
9.401306462821378994e-04 1.470492150000000038e+02
9.601334259902684007e-04 9.368396599999999808e+01
9.801362056983990104e-04 4.923563599999999951e+01
1.000138985406529620e-03 1.401678800000000003e+01
1.020141765114660230e-03 -5.323415999999999926e+00
1.040144544822790840e-03 -1.142239600000000088e+01
1.060147324530921449e-03 -3.480802999999999869e+00
1.080150104239052059e-03 1.399647799999999975e+01
1.100152883947182669e-03 3.984983900000000290e+01
1.120155663655313279e-03 6.059602699999999942e+01
1.140158443363443888e-03 7.296846999999999639e+01
1.160161223071574281e-03 6.899786799999999687e+01
1.180164002779704891e-03 4.948162399999999650e+01
1.200166782487835501e-03 1.734240700000000146e+01
1.220169562195966111e-03 -1.219137899999999952e+01
1.240172341904096720e-03 -3.518884200000000106e+01
1.260175121612227330e-03 -4.531143800000000255e+01
1.280177901320357940e-03 -3.422824599999999862e+01
1.300180681028488550e-03 -1.803106800000000121e+01
1.320183460736619159e-03 -8.276899999999999535e-02
1.340186240444749769e-03 2.036344400000000121e+01
1.360189020152880379e-03 3.046378299999999939e+01
1.380191799861010989e-03 3.117034400000000005e+01
1.400194579569141598e-03 1.022644299999999973e+01
1.420197359277271991e-03 -1.030971000000000082e+00
1.440200138985402601e-03 -1.043500099999999975e+01
1.460202918693533211e-03 -1.234438399999999980e+01
1.480205698401663821e-03 -1.327962000000000087e+00
1.500208478109794430e-03 4.927851999999999677e+00
1.520211257817925040e-03 2.131502000000000052e+01
1.540214037526055650e-03 2.634361499999999978e+01
1.560216817234186260e-03 2.911217399999999955e+01
1.580219596942316869e-03 2.539885100000000051e+01
1.600222376650447479e-03 5.536043000000000269e+00
1.620225156358578089e-03 4.803850999999999871e+00
1.640227936066708699e-03 4.482528000000000290e+00
1.660230715774839308e-03 -5.331462000000000145e+00
1.680233495482969701e-03 3.228315999999999963e+00
1.700236275191100311e-03 9.891090000000000160e-01
1.720239054899230921e-03 1.229193999999999898e+00
1.740241834607361530e-03 -6.119716999999999629e+00
1.760244614315492140e-03 -1.857943300000000164e+01
1.780247394023622750e-03 -2.581861900000000176e+01
1.800250173731753360e-03 -3.415382000000000318e+01
1.820252953439883969e-03 -2.568391199999999941e+01
1.840255733148014579e-03 -1.924660799999999838e+01
1.860258512856145189e-03 -2.351757999999999793e+00
1.880261292564275799e-03 2.049094799999999950e+01
1.900264072272406408e-03 3.044736599999999882e+01
1.920266851980536801e-03 4.087791800000000109e+01
1.940269631688667411e-03 4.050325699999999784e+01
1.960272411396798021e-03 2.812263799999999847e+01
1.980275191104928847e-03 1.404819299999999949e+01
2.000277970813059240e-03 -5.437300000000000466e-01
2.020280750521190067e-03 -1.109523300000000035e+01
2.040283530229320460e-03 -1.943147300000000044e+01
2.060286309937450853e-03 -1.766743800000000064e+01
2.080289089645581679e-03 -1.469889500000000027e+01
2.100291869353712072e-03 -8.049797999999999121e+00
2.120294649061842899e-03 -4.415443999999999924e+00
2.140297428769973292e-03 -6.032969999999999722e-01
2.160300208478104118e-03 -1.019096999999999920e+00
2.180302988186234511e-03 -6.544665000000000177e+00
2.200305767894365338e-03 -1.567454500000000017e+01
2.220308547602495731e-03 -1.878772299999999973e+01
2.240311327310626557e-03 -1.357277099999999947e+01
2.260314107018756950e-03 -7.934947000000000195e+00
2.280316886726887777e-03 -6.163255999999999624e+00
2.300319666435018170e-03 3.379439000000000082e+00
2.320322446143148563e-03 1.103351499999999952e+01
2.340325225851279389e-03 1.500801000000000052e+01
2.360328005559409782e-03 1.693854599999999877e+01
2.380330785267540609e-03 1.543886400000000059e+01
2.400333564975671002e-03 8.483043000000000333e+00
2.420336344683801828e-03 5.356175000000000352e+00
2.440339124391932221e-03 6.096931999999999796e+00
2.460341904100063048e-03 -3.146631999999999874e+00
2.480344683808193441e-03 -7.721597000000000044e+00
2.500347463516324267e-03 -1.335273699999999941e+01
2.520350243224454660e-03 -1.560011899999999940e+01
2.540353022932585487e-03 -1.715313899999999947e+01
2.560355802640715880e-03 -1.316488799999999948e+01
2.580358582348846273e-03 -4.823845999999999634e+00
2.600361362056977099e-03 -5.948282999999999987e+00
2.620364141765107492e-03 -5.922782999999999909e+00
2.640366921473238319e-03 -5.296681999999999668e+00
2.660369701181368712e-03 -6.838282000000000416e+00
2.680372480889499538e-03 -8.326738000000000639e+00
2.700375260597629931e-03 -7.223065000000000069e+00
2.720378040305760758e-03 -8.316292000000000684e+00
2.740380820013891151e-03 -1.428082999999999991e+00
2.760383599722021977e-03 3.748648999999999898e+00
2.780386379430152370e-03 1.918456600000000023e+01
2.800389159138283197e-03 1.866734699999999947e+01
2.820391938846413590e-03 1.170912500000000023e+01
2.840394718554543983e-03 5.886500999999999983e+00
2.860397498262674809e-03 2.642444999999999933e+00
2.880400277970805202e-03 -1.612233999999999945e+00
2.900403057678936029e-03 -6.314185000000000159e+00
2.920405837387066422e-03 -1.269685300000000083e+01
2.940408617095197248e-03 -1.464860799999999941e+01
2.960411396803327641e-03 -1.028913400000000067e+01
2.980414176511458468e-03 -7.659434000000000076e+00
3.000416956219588861e-03 -7.668584000000000067e+00
3.020419735927719687e-03 -1.636027800000000099e+01
3.040422515635850080e-03 -1.689099300000000170e+01
3.060425295343980907e-03 -1.390077800000000074e+01
3.080428075052111300e-03 -1.284025500000000086e+01
3.100430854760241692e-03 -4.140514999999999723e+00
3.120433634468372519e-03 4.246661999999999715e+00
3.140436414176502912e-03 9.665554999999999453e+00
3.160439193884633739e-03 1.247830300000000037e+01
3.180441973592764131e-03 1.303880200000000045e+01
3.200444753300894958e-03 7.987885999999999598e+00
3.220447533009025351e-03 2.137230999999999881e+00
3.240450312717156178e-03 -7.568209999999999660e-01
3.260453092425286570e-03 -5.062503000000000419e+00
3.280455872133417397e-03 -6.537528000000000006e+00
3.300458651841547790e-03 -7.195110000000000117e-01
3.320461431549678617e-03 4.493299000000000376e+00
3.340464211257809009e-03 4.644877000000000145e+00
3.360466990965939402e-03 -6.483940000000000259e-01
3.380469770674070229e-03 -4.900089000000000361e+00
3.400472550382200622e-03 -1.492321199999999948e+01
3.420475330090331448e-03 -1.848035000000000139e+01
3.440478109798461841e-03 -1.994986000000000104e+01
3.460480889506592668e-03 -1.846185699999999841e+01
3.480483669214723061e-03 -1.508770200000000017e+01
3.500486448922853887e-03 -7.201846999999999888e+00
3.520489228630984280e-03 4.069973000000000063e+00
3.540492008339115107e-03 8.599322000000000799e+00
3.560494788047245500e-03 1.402158900000000052e+01
3.580497567755376326e-03 1.029879299999999986e+01
3.600500347463506719e-03 5.136141000000000290e+00
3.620503127171637112e-03 6.760920000000000263e-01
3.640505906879767939e-03 -3.563924000000000092e+00
3.660508686587898332e-03 -1.969059999999999977e-01
3.680511466296029158e-03 8.458379999999999788e-01
