# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.073960999999999721e+00
2.000277970813066735e-05 6.300224000000000046e+00
4.000555941626133470e-05 6.520518000000000036e+00
6.000833912439200544e-05 6.763976000000000433e+00
8.001111883252266940e-05 7.024110000000000298e+00
1.000138985406533334e-04 7.312666000000000111e+00
1.200166782487840109e-04 7.634184000000000303e+00
1.400194579569146748e-04 7.956739999999999924e+00
1.600222376650453388e-04 8.296037000000000106e+00
1.800250173731760028e-04 8.656681999999999988e+00
2.000277970813066667e-04 9.036794000000000437e+00
2.200305767894373307e-04 9.423135000000000261e+00
2.400333564975680217e-04 9.836468999999999241e+00
2.600361362056986857e-04 1.032267200000000074e+01
2.800389159138293497e-04 1.083781399999999984e+01
3.000416956219600136e-04 1.143516900000000014e+01
3.200444753300906776e-04 1.207612899999999989e+01
3.400472550382213415e-04 1.287171599999999927e+01
3.600500347463520055e-04 1.364199699999999993e+01
3.800528144544826695e-04 1.460161899999999946e+01
4.000555941626133334e-04 1.574701499999999932e+01
4.200583738707439974e-04 1.672234100000000012e+01
4.400611535788746614e-04 1.802736000000000161e+01
4.600639332870053253e-04 1.958226200000000006e+01
4.800667129951360435e-04 2.146977700000000056e+01
5.000694927032666532e-04 2.351003800000000155e+01
5.200722724113973714e-04 2.618068200000000090e+01
5.400750521195279812e-04 2.960862900000000053e+01
5.600778318276586993e-04 3.405777700000000152e+01
5.800806115357893091e-04 4.091756399999999871e+01
6.000833912439200273e-04 5.159682999999999709e+01
6.200861709520506370e-04 6.941554899999999861e+01
6.400889506601813552e-04 9.768383199999999533e+01
6.600917303683120733e-04 1.393887149999999906e+02
6.800945100764426831e-04 1.947841029999999876e+02
7.000972897845734013e-04 2.631882860000000051e+02
7.201000694927040110e-04 3.368456400000000031e+02
7.401028492008347292e-04 4.069882269999999949e+02
7.601056289089653389e-04 4.612166110000000003e+02
7.801084086170960571e-04 4.897834419999999795e+02
8.001111883252266669e-04 4.884142489999999839e+02
8.201139680333573850e-04 4.614316489999999931e+02
8.401167477414879948e-04 4.202040789999999788e+02
8.601195274496187130e-04 3.735088210000000117e+02
8.801223071577493227e-04 3.257602420000000052e+02
9.001250868658800409e-04 2.815107279999999719e+02
9.201278665740106506e-04 2.389217510000000004e+02
9.401306462821413688e-04 1.900136310000000037e+02
9.601334259902720870e-04 1.372807760000000030e+02
9.801362056984026967e-04 8.582542899999999975e+01
1.000138985406533306e-03 4.471926400000000257e+01
1.020141765114664133e-03 1.332216599999999929e+01
1.040144544822794743e-03 -3.332729000000000052e+00
1.060147324530925353e-03 -7.497734000000000343e+00
1.080150104239055962e-03 1.357730000000000048e-01
1.100152883947186789e-03 1.902851100000000173e+01
1.120155663655317399e-03 4.072809199999999663e+01
1.140158443363448008e-03 6.005648599999999959e+01
1.160161223071578618e-03 7.024974400000000685e+01
1.180164002779709445e-03 6.243396800000000013e+01
1.200166782487840055e-03 4.788039299999999798e+01
1.220169562195970664e-03 1.623042799999999986e+01
1.240172341904101274e-03 -1.003970600000000069e+01
1.260175121612232101e-03 -2.858626900000000148e+01
1.280177901320362710e-03 -4.401446399999999670e+01
1.300180681028493320e-03 -3.775540600000000069e+01
1.320183460736624147e-03 -2.166432000000000002e+01
1.340186240444754756e-03 -7.182316000000000145e+00
1.360189020152885366e-03 1.179334899999999919e+01
1.380191799861015976e-03 2.452877300000000105e+01
1.400194579569146803e-03 2.920334100000000177e+01
1.420197359277277412e-03 1.980910899999999941e+01
1.440200138985408022e-03 4.893786000000000413e+00
1.460202918693538632e-03 7.222342000000000262e+00
1.480205698401669458e-03 7.930840000000000112e-01
1.500208478109800068e-03 8.804229999999999556e-01
1.520211257817930678e-03 1.132505500000000076e+01
1.540214037526061288e-03 1.236429500000000026e+01
1.560216817234192114e-03 1.718194000000000088e+01
1.580219596942322724e-03 2.094821100000000058e+01
1.600222376650453334e-03 1.282324500000000000e+01
1.620225156358584160e-03 2.179602000000000039e+00
1.640227936066714770e-03 -7.849819999999999576e-01
1.660230715774845380e-03 5.059118999999999922e+00
1.680233495482975990e-03 3.777070000000000149e+00
1.700236275191106816e-03 4.199294000000000082e+00
1.720239054899237426e-03 6.528044999999999654e+00
1.740241834607368036e-03 2.641200000000000214e-01
1.760244614315498645e-03 -6.774562000000000417e+00
1.780247394023629472e-03 -1.615588199999999830e+01
1.800250173731760082e-03 -2.691171500000000094e+01
1.820252953439890692e-03 -3.263240100000000155e+01
1.840255733148021301e-03 -2.722434399999999854e+01
1.860258512856152128e-03 -1.520183899999999966e+01
1.880261292564282738e-03 -2.062749000000000166e+00
1.900264072272413347e-03 2.436136300000000077e+01
1.920266851980544174e-03 3.154727600000000010e+01
1.940269631688674784e-03 4.023105300000000284e+01
1.960272411396805393e-03 4.204745199999999983e+01
1.980275191104936220e-03 2.393303999999999832e+01
2.000277970813066613e-03 1.793132699999999957e+01
2.020280750521197440e-03 -1.824870999999999910e+00
2.040283530229328266e-03 -1.385847099999999976e+01
2.060286309937458659e-03 -1.840358799999999917e+01
2.080289089645589486e-03 -2.199810199999999938e+01
2.100291869353719879e-03 -1.683213999999999899e+01
2.120294649061850705e-03 -1.173554400000000086e+01
2.140297428769981532e-03 -7.662029999999999674e+00
2.160300208478111925e-03 -5.438006999999999813e+00
2.180302988186242751e-03 -5.849914000000000058e+00
2.200305767894373578e-03 -2.728755000000000042e+00
2.220308547602503971e-03 -9.809160999999999575e+00
2.240311327310634797e-03 -8.506995999999999114e+00
2.260314107018765624e-03 -7.294247000000000369e+00
2.280316886726896017e-03 -2.252609999999999779e+00
2.300319666435026843e-03 4.387980000000000214e-01
2.320322446143157236e-03 3.587858000000000214e+00
2.340325225851288063e-03 7.852401000000000408e+00
2.360328005559418890e-03 5.327169999999999739e+00
2.380330785267549282e-03 9.784233999999999654e+00
2.400333564975680109e-03 8.206882000000000232e+00
2.420336344683810936e-03 4.287475999999999843e+00
2.440339124391941329e-03 1.047081000000000017e+01
2.460341904100072155e-03 6.763067999999999635e+00
2.480344683808202548e-03 2.708047000000000093e+00
2.500347463516333375e-03 -3.386261000000000188e+00
2.520350243224464201e-03 -9.486345000000000027e+00
2.540353022932594594e-03 -1.528723100000000024e+01
2.560355802640725421e-03 -1.613414399999999915e+01
2.580358582348856247e-03 -1.876248100000000107e+01
2.600361362056986640e-03 -1.378099500000000077e+01
2.620364141765117467e-03 -1.338167699999999982e+01
2.640366921473248293e-03 -5.003974000000000366e+00
2.660369701181378686e-03 -5.196495999999999782e+00
2.680372480889509513e-03 -2.254569999999999907e-01
2.700375260597639906e-03 -1.631895000000000095e+00
2.720378040305770732e-03 -3.955585000000000129e+00
2.740380820013901559e-03 -9.321599999999999331e-02
