# time(s), 	 	 acceleration(g)
0.000000000000000000e+00 6.254933000000000298e+00
2.000277970813059281e-05 6.477821999999999747e+00
4.000555941626118562e-05 6.718943999999999583e+00
6.000833912439177504e-05 6.991406999999999705e+00
8.001111883252237124e-05 7.267439000000000426e+00
1.000138985406529674e-04 7.582987000000000144e+00
1.200166782487835501e-04 7.896264999999999645e+00
1.400194579569141598e-04 8.225828999999999169e+00
1.600222376650447425e-04 8.604706999999999439e+00
1.800250173731753251e-04 8.948546999999999585e+00
2.000277970813059349e-04 9.342674000000000589e+00
2.200305767894365175e-04 9.770673000000000386e+00
2.400333564975671002e-04 1.023487899999999939e+01
2.600361362056977099e-04 1.073535700000000048e+01
2.800389159138283197e-04 1.131305099999999975e+01
3.000416956219588752e-04 1.196990800000000021e+01
3.200444753300894850e-04 1.270904299999999942e+01
3.400472550382200947e-04 1.354752000000000045e+01
3.600500347463506503e-04 1.437645900000000054e+01
3.800528144544812600e-04 1.541174099999999925e+01
4.000555941626118698e-04 1.655103799999999836e+01
4.200583738707424253e-04 1.773510699999999929e+01
4.400611535788730351e-04 1.926074399999999898e+01
4.600639332870036448e-04 2.106494400000000056e+01
4.800667129951342003e-04 2.299710200000000171e+01
5.000694927032648101e-04 2.552343499999999921e+01
5.200722724113954198e-04 2.874607800000000069e+01
5.400750521195260296e-04 3.289135699999999929e+01
5.600778318276566393e-04 3.912076199999999915e+01
5.800806115357871407e-04 4.860324099999999703e+01
6.000833912439177504e-04 6.448785499999999615e+01
6.200861709520483602e-04 8.957119500000000301e+01
6.400889506601789699e-04 1.274779470000000003e+02
6.600917303683095797e-04 1.787051500000000033e+02
6.800945100764401894e-04 2.428455690000000118e+02
7.000972897845707992e-04 3.145663529999999923e+02
7.201000694927013005e-04 3.845999289999999746e+02
7.401028492008319103e-04 4.425341730000000098e+02
7.601056289089625200e-04 4.771606629999999996e+02
7.801084086170931298e-04 4.841295910000000049e+02
8.001111883252237395e-04 4.640165759999999864e+02
8.201139680333543493e-04 4.270637370000000033e+02
8.401167477414848506e-04 3.822401610000000005e+02
8.601195274496154604e-04 3.356480090000000018e+02
8.801223071577460701e-04 2.903499110000000201e+02
9.001250868658766799e-04 2.489662869999999941e+02
9.201278665740072896e-04 2.019560639999999978e+02
9.401306462821378994e-04 1.507873899999999878e+02
9.601334259902684007e-04 9.854495599999999911e+01
9.801362056983990104e-04 5.545933000000000135e+01
1.000138985406529620e-03 2.164717999999999876e+01
1.020141765114660230e-03 1.042770999999999892e+00
1.040144544822790840e-03 -6.201344999999999885e+00
1.060147324530921449e-03 -1.071851000000000109e+00
1.080150104239052059e-03 1.360630899999999954e+01
1.100152883947182669e-03 3.555544799999999839e+01
1.120155663655313279e-03 5.439783299999999855e+01
1.140158443363443888e-03 6.732480599999999527e+01
1.160161223071574281e-03 6.365100000000000335e+01
1.180164002779704891e-03 4.999209499999999906e+01
1.200166782487835501e-03 2.332906699999999844e+01
1.220169562195966111e-03 -5.666671000000000014e+00
1.240172341904096720e-03 -2.419013400000000047e+01
1.260175121612227330e-03 -3.742227299999999701e+01
1.280177901320357940e-03 -3.571631399999999701e+01
1.300180681028488550e-03 -2.300340500000000077e+01
1.320183460736619159e-03 -7.391384000000000398e+00
1.340186240444749769e-03 8.917790000000000106e+00
1.360189020152880379e-03 2.248630599999999902e+01
1.380191799861010989e-03 2.705497700000000094e+01
1.400194579569141598e-03 1.625365800000000149e+01
1.420197359277271991e-03 5.557066999999999979e+00
1.440200138985402601e-03 1.707219999999999960e+00
1.460202918693533211e-03 1.238731999999999944e+00
1.480205698401663821e-03 1.901299000000000072e+00
1.500208478109794430e-03 6.563343999999999845e+00
1.520211257817925040e-03 1.843440000000000012e+01
1.540214037526055650e-03 1.766191299999999842e+01
1.560216817234186260e-03 2.267019799999999918e+01
1.580219596942316869e-03 1.808893899999999988e+01
1.600222376650447479e-03 2.790258999999999823e+00
1.620225156358578089e-03 5.574120000000000186e-01
1.640227936066708699e-03 2.032826000000000022e+00
1.660230715774839308e-03 -5.250430000000000375e-01
1.680233495482969701e-03 4.271448999999999607e+00
1.700236275191100311e-03 3.434918000000000138e+00
1.720239054899230921e-03 5.026869999999999727e+00
1.740241834607361530e-03 -3.841124000000000205e+00
1.760244614315492140e-03 -1.139105499999999971e+01
1.780247394023622750e-03 -2.188299100000000053e+01
1.800250173731753360e-03 -3.092468900000000076e+01
1.820252953439883969e-03 -2.709339999999999904e+01
1.840255733148014579e-03 -2.046422400000000152e+01
1.860258512856145189e-03 -6.451811000000000185e+00
1.880261292564275799e-03 1.550212999999999930e+01
1.900264072272406408e-03 2.722530700000000081e+01
1.920266851980536801e-03 3.634889299999999679e+01
1.940269631688667411e-03 4.232465200000000038e+01
1.960272411396798021e-03 2.884503199999999978e+01
1.980275191104928847e-03 1.964299700000000115e+01
